地区,6岁及以上人口合计,6岁及以上人口男,6岁及以上人口女,未上过学小计,未上过学男,未上过学女,小学小计,小学男,小学女,初中小计,初中男,初中女,高中小计,高中男,高中女,大学专科小计,大学专科男,大学专科女,大学本科小计,大学本科男,大学本科女,研究生小计,研究生男,研究生女
北京,18813279,9705742,9107537,363770,85234,278536,1952619,915760,1036859,6157444,3422170,2735274,4161674,2130596,2031078,2377944,1168702,1209242,3109069,1600785,1508284,690759,382495,308264
天津,12388491,6614740,5773751,312312,79566,232746,2205954,1099357,1106597,4936137,2822516,2113621,2672387,1424883,1247504,1089221,575634,513587,1069485,559162,510323,102995,53622,49373
河北,66150575,33365442,32785133,2153698,590918,1562780,17719711,8135891,9583820,31902985,17000389,14902596,9131670,4969587,4162083,3329231,1672986,1656245,1813264,943909,869355,100016,51762,48254
山西,33521349,17189136,16332213,868223,269688,598535,7804836,3663138,4141698,16115283,8594820,7520463,5618618,3045500,2573118,1999192,1029742,969450,1055226,556075,499151,59971,30173,29798
内蒙古,23362679,12133195,11229484,1131271,353205,778066,6278818,2993100,3285718,9689532,5394257,4295275,3740299,2049754,1690545,1602849,862600,740249,875760,458132,417628,44150,22147,22003
辽宁,41873047,21163538,20709509,975536,271752,703784,9364681,4417007,4947674,19829444,10342955,9486489,6469305,3384468,3084837,2817201,1455775,1361426,2233535,1196785,1036750,183345,94796,88549
吉林,26136514,13213535,12922979,637242,213047,424195,6604755,3125630,3479125,11549212,6021056,5528156,4630133,2429683,2200450,1416006,743494,672512,1216386,638606,577780,82780,42019,40761
黑龙江,36619463,18535467,18083996,913586,294695,618891,9211366,4306896,4904470,17245267,9068804,8176463,5756969,3032636,2724333,1995107,1050234,944873,1413428,736793,676635,83740,45409,38331
上海,22085668,11357084,10728584,694616,145603,549013,3121808,1422336,1699472,8406458,4524227,3882231,4823221,2558656,2264565,2216495,1164649,1051846,2401283,1296219,1105064,421787,245394,176393
江苏,74119475,37142803,36976672,3448220,793662,2654558,19033077,8283702,10749375,30423013,16111145,14311868,12703757,7229593,5474164,4899462,2673313,2226149,3298133,1865848,1432285,313813,185540,128273
浙江,51484414,26390037,25094377,3372461,920709,2451752,15687367,7666076,8021291,19961827,10953031,9008796,7384253,4142256,3241997,2808016,1475501,1332515,2098829,1130441,968388,171661,102023,69638
安徽,55103738,27788760,27314978,5158856,1441011,3717845,16518988,7640294,8878694,22969845,12618699,10351146,6449846,3752293,2697553,2457181,1372114,1085067,1446936,900527,546409,102086,63822,38264
福建,34366573,17582854,16783719,1190153,269720,920433,10994768,4769970,6224798,13977601,7840955,6136646,5119371,2973358,2146013,1737607,949773,787834,1263231,731241,531990,83842,47837,36005
江西,40413800,20654682,19759118,1682257,418077,1264180,13399357,6003557,7395800,16787837,9133098,7654739,5488361,3298792,2189569,1937740,1127777,809963,1057732,637468,420264,60516,35913,24603
山东,89358154,44912866,44445288,5326632,1365604,3961028,23912234,10698689,13213545,38468023,20629541,17838482,13322584,7616983,5705601,4933489,2699734,2233755,3161869,1774995,1386874,233323,127320,106003
河南,85563558,42777392,42786166,4529564,1306814,3222750,22669174,10652923,12016251,39925272,20767503,19157769,12423541,6871168,5552373,4034524,2108974,1925550,1858760,1001945,856815,122723,68065,54658
湖北,53724341,27452003,26272338,2994419,802841,2191578,13092079,6032442,7059637,22677927,12165362,10512565,9503078,5367433,4135645,3180279,1784301,1395978,2077526,1182951,894575,199033,116673,82360
湖南,60715957,31045763,29670194,2012174,561138,1451036,17600932,8435488,9165444,25977062,13609112,12367950,10133885,5694356,4439529,3196149,1723238,1472911,1680612,955329,725283,115143,67102,48041
广东,97649498,50726664,46922834,2611734,619785,1991949,23788746,11011304,12777442,44075971,23551751,20524220,18267539,10534980,7732559,5294533,2921036,2373497,3287295,1889289,1398006,323680,198519,125161
广西,41837842,21641498,20196344,1587939,408735,1179204,14579571,6967138,7612433,17840416,9850540,7989876,5078715,2892731,2185984,1733473,946905,786568,955852,539765,416087,61876,35684,26192
海南,7949791,4191680,3758111,390150,92453,297697,1958821,932656,1026165,3642423,1988251,1654172,1288237,785165,503072,415159,245348,169811,242323,140392,101931,12678,7415,5263
重庆,26962605,13610997,13351608,1348719,389380,959339,9707595,4767350,4940245,9646397,5113134,4533263,3814455,2007844,1806611,1374449,742938,631511,989687,543913,445774,81303,46438,34865
四川,75277913,38122918,37154995,4960433,1525276,3435157,27846551,13702122,14144429,28058292,15049154,13009138,9045928,4895972,4149956,3247880,1749262,1498618,1962005,1108088,853917,156824,93044,63780
贵州,31837765,16297601,15540164,3313944,910743,2403201,13546008,6766558,6779450,10506809,6062403,4444406,2617659,1488779,1128880,1134876,649843,485033,689649,402669,286980,28820,16606,12214
云南,42475720,22008248,20467472,3392628,1077706,2314922,20042984,10091266,9951718,12591002,7303852,5287150,3813068,2091089,1721979,1574493,860519,713974,1002321,550638,451683,59224,33178,26046
西藏,2705849,1390712,1315137,925237,385047,540190,1098468,611608,486860,385793,225894,159899,131027,74737,56290,93704,52475,41229,68266,38704,29562,3354,2247,1107
陕西,35187233,18134212,17053021,1636786,499153,1137633,8740957,4073418,4667539,14981471,8133999,6847472,5887718,3272736,2614982,2364637,1263056,1101581,1438244,813675,624569,137420,78175,59245
甘肃,23912906,12165651,11747255,2448945,782437,1666508,8313301,3958264,4355037,7982874,4439191,3543683,3244504,1880240,1364264,1171858,664590,507268,705613,414266,291347,45811,26663,19148
青海,5184022,2682791,2501231,700487,247139,453348,1984288,999361,984927,1427740,842553,585187,586713,325699,261014,293579,161184,132395,183274,102060,81214,7941,4795,3146
宁夏,5798346,2960878,2837468,419166,127722,291444,1868716,889128,979588,2130699,1190079,940620,792711,434274,358437,359428,194106,165322,218374,120653,97721,9252,4916,4336
新疆,19965557,10319498,9646059,635247,254620,380627,6563203,3264832,3298371,7906166,4261406,3644760,2545639,1350849,1194790,1524757,780572,744185,751826,385760,366066,38719,21459,17260
